,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
245,245,5,09/21/19,,Sat,East Carolina,19,,William & Mary,7,Dowdy-Ficklen Stadium - Greenville North Carolina
246,246,5,09/21/19,,Sat,Eastern Michigan,34,,Central Connecticut State,29,Rynearson Stadium - Ypsilanti Michigan
247,247,5,09/21/19,,Sat,(9) Florida,34,,Tennessee,3,Ben Hill Griffin Stadium - Gainesville Florida
248,248,5,09/21/19,,Sat,Florida Atlantic,42,,Wagner,7,FAU Football Stadium - Boca Raton Florida
249,249,5,09/21/19,,Sat,Florida State,35,,Louisville,24,Doak Campbell Stadium - Tallahassee Florida
250,250,5,09/21/19,,Sat,Fresno State,34,,Sacramento State,20,Bulldog Stadium - Fresno California
251,251,5,09/21/19,,Sat,(3) Georgia,23,,(7) Notre Dame,17,Sanford Stadium - Athens Georgia
252,252,5,09/21/19,,Sat,Hawaii,35,,Central Arkansas,16,Aloha Stadium - Honolulu Hawaii
253,253,5,09/21/19,,Sat,Indiana,38,,Connecticut,3,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
254,254,5,09/21/19,,Sat,Iowa State,72,,Louisiana-Monroe,20,Jack Trice Stadium - Ames Iowa
255,255,5,09/21/19,,Sat,Kent State,62,,Bowling Green State,20,Dix Stadium - Kent Ohio
256,256,5,09/21/19,,Sat,Liberty,62,,Hampton,27,Williams Stadium - Lynchburg Virginia
257,257,5,09/21/19,,Sat,Louisiana,45,@,Ohio,25,Peden Stadium - Athens Ohio
258,258,5,09/21/19,,Sat,(4) Louisiana State,66,@,Vanderbilt,38,Vanderbilt Stadium - Nashville Tennessee
259,259,5,09/21/19,,Sat,Miami (FL),17,,Central Michigan,12,Hard Rock Stadium - Miami Gardens Florida
260,260,5,09/21/19,,Sat,Michigan State,31,@,Northwestern,10,Ryan Field - Evanston Illinois
261,261,5,09/21/19,,Sat,Mississippi State,28,,Kentucky,13,Davis Wade Stadium - Starkville Mississippi
262,262,5,09/21/19,,Sat,Missouri,34,,South Carolina,14,Memorial Stadium/Faurot Field - Columbia Missouri
263,263,5,09/21/19,,Sat,Nebraska,42,@,Illinois,38,Memorial Stadium - Champaign Illinois
264,264,5,09/21/19,,Sat,Nevada,37,@,Texas-El Paso,21,Sun Bowl - El Paso Texas
265,265,5,09/21/19,,Sat,New Mexico,55,,New Mexico State,52,Dreamstyle Stadium - Albuquerque New Mexico
266,266,5,09/21/19,,Sat,North Carolina State,34,,Ball State,23,Carter-Finley Stadium - Raleigh North Carolina
267,267,5,09/21/19,,Sat,North Texas,45,,Texas-San Antonio,3,Apogee Stadium - Denton Texas
268,268,5,09/21/19,,Sat,(6) Ohio State,76,,Miami (OH),5,Ohio Stadium - Columbus Ohio
269,269,5,09/21/19,,Sat,(16) Oregon,21,@,Stanford,6,Stanford Stadium - Stanford California
270,270,5,09/21/19,,Sat,Pittsburgh,35,,(15) Central Florida,34,Heinz Field - Pittsburgh Pennsylvania
271,271,5,09/21/19,,Sat,San Jose State,31,@,Arkansas,24,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
272,272,5,09/21/19,,Sat,Southern Methodist,41,@,(25) Texas Christian,38,Amon G. Carter Stadium - Fort Worth Texas
273,273,5,09/21/19,,Sat,Syracuse,52,,Western Michigan,33,Carrier Dome - Syracuse New York
274,274,5,09/21/19,,Sat,(12) Texas,36,,Oklahoma State,30,Darrell K Royal-Texas Memorial Stadium - Austin Texas
275,275,5,09/21/19,,Sat,Texas State,37,,Georgia State,34,Bobcat Stadium - San Marcos Texas
276,276,5,09/21/19,,Sat,Toledo,41,@,Colorado State,35,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
277,277,5,09/21/19,,Sat,Troy,35,@,Akron,7,InfoCision Stadium - Akron Ohio
278,278,5,09/21/19,,Sat,Tulsa,24,,Wyoming,21,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
279,279,5,09/21/19,,Sat,UCLA,67,@,(19) Washington State,63,Martin Stadium - Pullman Washington
280,280,5,09/21/19,,Sat,Utah State,23,@,San Diego State,17,SDCCU Stadium - San Diego California
281,281,5,09/21/19,,Sat,(21) Virginia,28,,Old Dominion,17,Scott Stadium - Charlottesville Virginia
282,282,5,09/21/19,,Sat,Wake Forest,49,,Elon,7,BB&T Field - Winston-Salem North Carolina
283,283,5,09/21/19,,Sat,(22) Washington,45,@,Brigham Young,19,LaVell Edwards Stadium - Provo Utah
284,284,5,09/21/19,,Sat,West Virginia,29,@,Kansas,24,David Booth Kansas Memorial Stadium - Lawrence Kansas
285,285,5,09/21/19,,Sat,(13) Wisconsin,35,,(11) Michigan,14,Camp Randall Stadium - Madison Wisconsin
286,286,6,09/26/19,,Thu,Memphis,35,,Navy,23,Liberty Bowl Memorial Stadium - Memphis Tennessee
287,287,6,09/27/19,,Fri,Air Force,41,,San Jose State,24,Falcon Stadium - Colorado Springs Colorado
288,288,6,09/27/19,,Fri,Arizona State,24,@,(15) California,17,California Memorial Stadium - Berkeley California
289,289,6,09/27/19,,Fri,Duke,45,@,Virginia Tech,10,Lane Stadium - Blacksburg Virginia
290,290,6,09/27/19,,Fri,(12) Penn State,59,@,Maryland,0,Capital One Field at Maryland Stadium - College Park Maryland
291,291,6,09/28/19,,Sat,(2) Alabama,59,,Mississippi,31,Bryant-Denny Stadium - Tuscaloosa Alabama
292,292,6,09/28/19,,Sat,Appalachian State,56,,Coastal Carolina,37,Kidd Brewer Stadium - Boone North Carolina
293,293,6,09/28/19,,Sat,Arizona,20,,UCLA,17,Arizona Stadium - Tucson Arizona
294,294,6,09/28/19,,Sat,Arkansas State,50,@,Troy,43,Veterans Memorial Stadium - Troy Alabama
295,295,6,09/28/19,,Sat,(7) Auburn,56,,Mississippi State,23,Jordan-Hare Stadium - Auburn Alabama
296,296,6,09/28/19,,Sat,Baylor,23,,Iowa State,21,McLane Stadium - Waco Texas
297,297,6,09/28/19,,Sat,(22) Central Florida,56,,Connecticut,21,Spectrum Stadium - Orlando Florida
298,298,6,09/28/19,,Sat,Cincinnati,52,@,Marshall,14,Joan C. Edwards Stadium - Huntington West Virginia
299,299,6,09/28/19,,Sat,(1) Clemson,21,@,North Carolina,20,Kenan Memorial Stadium - Chapel Hill North Carolina
300,300,6,09/28/19,,Sat,East Carolina,24,@,Old Dominion,21,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
301,301,6,09/28/19,,Sat,(9) Florida,38,,Towson,0,Ben Hill Griffin Stadium - Gainesville Florida
302,302,6,09/28/19,,Sat,Florida Atlantic,45,@,Charlotte,27,Jerry Richardson Stadium - Charlotte North Carolina
303,303,6,09/28/19,,Sat,Florida State,31,,North Carolina State,13,Doak Campbell Stadium - Tallahassee Florida
304,304,6,09/28/19,,Sat,Fresno State,30,@,New Mexico State,17,Aggie Memorial Stadium - Las Cruces New Mexico
305,305,6,09/28/19,,Sat,Hawaii,54,@,Nevada,3,MacKay Stadium - Reno Nevada
306,306,6,09/28/19,,Sat,Houston,46,@,North Texas,25,Apogee Stadium - Denton Texas
307,307,6,09/28/19,,Sat,(14) Iowa,48,,Middle Tennessee State,3,Kinnick Stadium - Iowa City Iowa
308,308,6,09/28/19,,Sat,Liberty,17,,New Mexico,10,Williams Stadium - Lynchburg Virginia
309,309,6,09/28/19,,Sat,Louisiana,37,@,Georgia Southern,24,Allen E. Paulson Stadium - Statesboro Georgia
310,310,6,09/28/19,,Sat,Louisiana Tech,23,@,Rice,20,Rice Stadium - Houston Texas
311,311,6,09/28/19,,Sat,Louisiana-Monroe,30,,South Alabama,17,Malone Stadium - Monroe Louisiana
312,312,6,09/28/19,,Sat,Massachusetts,37,,Akron,29,Warren McGuirk Alumni Stadium - Amherst Massachusetts
313,313,6,09/28/19,,Sat,Miami (OH),34,,Buffalo,20,Fred Yager Stadium - Oxford Ohio
314,314,6,09/28/19,,Sat,(20) Michigan,52,,Rutgers,0,Michigan Stadium - Ann Arbor Michigan
315,315,6,09/28/19,,Sat,(25) Michigan State,40,,Indiana,31,Spartan Stadium - East Lansing Michigan
316,316,6,09/28/19,,Sat,Minnesota,38,@,Purdue,31,Ross-Ade Stadium - West Lafayette Indiana
317,317,6,09/28/19,,Sat,(10) Notre Dame,35,,(18) Virginia,20,Notre Dame Stadium - South Bend Indiana
318,318,6,09/28/19,,Sat,(5) Ohio State,48,@,Nebraska,7,Memorial Stadium - Lincoln Nebraska
319,319,6,09/28/19,,Sat,(6) Oklahoma,55,,Texas Tech,16,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
320,320,6,09/28/19,,Sat,Oklahoma State,26,,(24) Kansas State,13,Boone Pickens Stadium - Stillwater Oklahoma
321,321,6,09/28/19,,Sat,Pittsburgh,17,,Delaware,14,Heinz Field - Pittsburgh Pennsylvania
322,322,6,09/28/19,,Sat,South Carolina,24,,Kentucky,7,Williams-Brice Stadium - Columbia South Carolina
323,323,6,09/28/19,,Sat,Southern Methodist,48,@,South Florida,21,Raymond James Stadium - Tampa Florida
324,324,6,09/28/19,,Sat,Southern Mississippi,31,,Texas-El Paso,13,M. M. Roberts Stadium - Hattiesburg Mississippi
325,325,6,09/28/19,,Sat,Stanford,31,@,Oregon State,28,Reser Stadium - Corvallis Oregon
326,326,6,09/28/19,,Sat,Syracuse,41,,Holy Cross,3,Carrier Dome - Syracuse New York
327,327,6,09/28/19,,Sat,Temple,24,,Georgia Tech,2,Lincoln Financial Field - Philadelphia Pennsylvania
328,328,6,09/28/19,,Sat,(23) Texas A&M,31,,Arkansas,27,AT&T Stadium - Arlington Texas
329,329,6,09/28/19,,Sat,Texas Christian,51,,Kansas,14,Amon G. Carter Stadium - Fort Worth Texas
330,330,6,09/28/19,,Sat,Texas State,24,,Nicholls State,3,Bobcat Stadium - San Marcos Texas
331,331,6,09/28/19,,Sat,Toledo,28,,Brigham Young,21,Glass Bowl - Toledo Ohio
332,332,6,09/28/19,,Sat,(19) Utah,38,,Washington State,13,Rice-Eccles Stadium - Salt Lake City Utah
333,333,6,09/28/19,,Sat,Utah State,34,,Colorado State,24,Merlin Olsen Field at Maverik Stadium - Logan Utah
334,334,6,09/28/19,,Sat,Vanderbilt,24,,Northern Illinois,18,Vanderbilt Stadium - Nashville Tennessee
335,335,6,09/28/19,,Sat,Wake Forest,27,@,Boston College,24,Alumni Stadium - Chestnut Hill Massachusetts
336,336,6,09/28/19,,Sat,(17) Washington,28,,(21) Southern California,14,Husky Stadium - Seattle Washington
337,337,6,09/28/19,,Sat,Western Kentucky,20,,Alabama-Birmingham,13,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
338,338,6,09/28/19,,Sat,Western Michigan,31,,Central Michigan,15,Waldo Stadium - Kalamazoo Michigan
339,339,6,09/28/19,,Sat,(8) Wisconsin,24,,Northwestern,15,Camp Randall Stadium - Madison Wisconsin
340,340,6,09/28/19,,Sat,Wyoming,53,,Nevada-Las Vegas,17,Jonah Field War Memorial Stadium - Laramie Wyoming
341,341,7,10/03/19,,Thu,Georgia Southern,20,@,South Alabama,17,Ladd-Peebles Stadium - Mobile Alabama
342,342,7,10/03/19,,Thu,Temple,27,@,East Carolina,17,Dowdy-Ficklen Stadium - Greenville North Carolina
343,343,7,10/04/19,,Fri,Cincinnati,27,,(18) Central Florida,24,Nippert Stadium - Cincinnati Ohio
344,344,7,10/04/19,,Fri,San Jose State,32,,New Mexico,21,CEFCU Stadium - San Jose California
345,345,7,10/05/19,,Sat,Alabama-Birmingham,35,,Rice,20,Legion Field - Birmingham Alabama
346,346,7,10/05/19,,Sat,Arizona,35,@,Colorado,30,Folsom Field - Boulder Colorado
347,347,7,10/05/19,,Sat,Ball State,27,@,Northern Illinois,20,Huskie Stadium - DeKalb Illinois
348,348,7,10/05/19,,Sat,Baylor,31,@,Kansas State,12,Bill Snyder Family Stadium - Manhattan Kansas
349,349,7,10/05/19,,Sat,(16) Boise State,38,@,Nevada-Las Vegas,13,Sam Boyd Stadium - Las Vegas Nevada
350,350,7,10/05/19,,Sat,Central Michigan,42,,Eastern Michigan,16,Kelly/Shorts Stadium - Mount Pleasant Michigan
351,351,7,10/05/19,,Sat,(10) Florida,24,,(7) Auburn,13,Ben Hill Griffin Stadium - Gainesville Florida
352,352,7,10/05/19,,Sat,Florida International,44,,Massachusetts,0,Riccardo Silva Stadium - Miami Florida
353,353,7,10/05/19,,Sat,(3) Georgia,43,@,Tennessee,14,Neyland Stadium - Knoxville Tennessee
354,354,7,10/05/19,,Sat,Georgia State,52,,Arkansas State,38,Georgia State Stadium - Atlanta Georgia
355,355,7,10/05/19,,Sat,Iowa State,49,,Texas Christian,24,Jack Trice Stadium - Ames Iowa
356,356,7,10/05/19,,Sat,Liberty,20,@,New Mexico State,13,Aggie Memorial Stadium - Las Cruces New Mexico
357,357,7,10/05/19,,Sat,(5) Louisiana State,42,,Utah State,6,Tiger Stadium - Baton Rouge Louisiana
358,358,7,10/05/19,,Sat,Louisville,41,,Boston College,39,Cardinal Stadium - Louisville Kentucky
359,359,7,10/05/19,,Sat,Maryland,48,@,Rutgers,7,SHI Stadium - Piscataway New Jersey
360,360,7,10/05/19,,Sat,Memphis,52,@,Louisiana-Monroe,33,Malone Stadium - Monroe Louisiana
361,361,7,10/05/19,,Sat,(19) Michigan,10,,(14) Iowa,3,Michigan Stadium - Ann Arbor Michigan
362,362,7,10/05/19,,Sat,Middle Tennessee State,24,,Marshall,13,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
363,363,7,10/05/19,,Sat,Minnesota,40,,Illinois,17,TCF Bank Stadium - Minneapolis Minnesota
364,364,7,10/05/19,,Sat,Mississippi,31,,Vanderbilt,6,Vaught-Hemingway Stadium - Oxford Mississippi
365,365,7,10/05/19,,Sat,Missouri,42,,Troy,10,Memorial Stadium/Faurot Field - Columbia Missouri
366,366,7,10/05/19,,Sat,Navy,34,,Air Force,25,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
367,367,7,10/05/19,,Sat,Nebraska,13,,Northwestern,10,Memorial Stadium - Lincoln Nebraska
368,368,7,10/05/19,,Sat,North Carolina,38,@,Georgia Tech,22,Bobby Dodd Stadium - Atlanta Georgia
369,369,7,10/05/19,,Sat,(9) Notre Dame,52,,Bowling Green State,0,Notre Dame Stadium - South Bend Indiana
370,370,7,10/05/19,,Sat,Ohio,21,@,Buffalo,20,UB Stadium - Buffalo New York
371,371,7,10/05/19,,Sat,(4) Ohio State,34,,(25) Michigan State,10,Ohio Stadium - Columbus Ohio
372,372,7,10/05/19,,Sat,(6) Oklahoma,45,@,Kansas,20,David Booth Kansas Memorial Stadium - Lawrence Kansas
373,373,7,10/05/19,,Sat,(13) Oregon,17,,California,7,Autzen Stadium - Eugene Oregon
374,374,7,10/05/19,,Sat,Oregon State,48,@,UCLA,31,Rose Bowl - Pasadena California
375,375,7,10/05/19,,Sat,(12) Penn State,35,,Purdue,7,Beaver Stadium - University Park Pennsylvania
376,376,7,10/05/19,,Sat,Pittsburgh,33,@,Duke,30,Wallace Wade Stadium - Durham North Carolina
377,377,7,10/05/19,,Sat,San Diego State,24,@,Colorado State,10,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
378,378,7,10/05/19,,Sat,South Florida,48,@,Connecticut,22,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
379,379,7,10/05/19,,Sat,(24) Southern Methodist,43,,Tulsa,37,Gerald J. Ford Stadium - Dallas Texas
380,380,7,10/05/19,,Sat,Stanford,23,,(15) Washington,13,Stanford Stadium - Stanford California
381,381,7,10/05/19,,Sat,(11) Texas,42,@,West Virginia,31,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
382,382,7,10/05/19,,Sat,Texas Tech,45,,(21) Oklahoma State,35,Jones AT&T Stadium - Lubbock Texas
383,383,7,10/05/19,,Sat,Texas-San Antonio,26,@,Texas-El Paso,16,Sun Bowl - El Paso Texas
384,384,7,10/05/19,,Sat,Toledo,31,,Western Michigan,24,Glass Bowl - Toledo Ohio
385,385,7,10/05/19,,Sat,Tulane,42,@,Army,33,Michie Stadium - West Point New York
386,386,7,10/05/19,,Sat,Virginia Tech,42,@,Miami (FL),35,Hard Rock Stadium - Miami Gardens Florida
387,387,7,10/05/19,,Sat,Western Kentucky,20,@,Old Dominion,3,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
388,388,7,10/05/19,,Sat,(8) Wisconsin,48,,Kent State,0,Camp Randall Stadium - Madison Wisconsin
389,389,8,10/09/19,,Wed,Appalachian State,17,@,Louisiana,7,Cajun Field - Lafayette Louisiana
390,390,8,10/10/19,,Thu,Louisiana-Monroe,24,@,Texas State,14,Bobcat Stadium - San Marcos Texas
391,391,8,10/10/19,,Thu,North Carolina State,16,,Syracuse,10,Carter-Finley Stadium - Raleigh North Carolina
392,392,8,10/11/19,,Fri,Colorado State,35,@,New Mexico,21,Dreamstyle Stadium - Albuquerque New Mexico
393,393,8,10/11/19,,Fri,Miami (FL),17,,(20) Virginia,9,Hard Rock Stadium - Miami Gardens Florida
394,394,8,10/11/19,,Fri,(13) Oregon,45,,Colorado,3,Autzen Stadium - Eugene Oregon
395,395,8,10/12/19,,Sat,Air Force,43,,Fresno State,24,Falcon Stadium - Colorado Springs Colorado
396,396,8,10/12/19,,Sat,(1) Alabama,47,@,(24) Texas A&M,28,Kyle Field - College Station Texas
397,397,8,10/12/19,,Sat,Alabama-Birmingham,33,@,Texas-San Antonio,14,Alamodome - San Antonio Texas
398,398,8,10/12/19,,Sat,(18) Arizona State,38,,Washington State,34,Sun Devil Stadium - Tempe Arizona
399,399,8,10/12/19,,Sat,Ball State,29,@,Eastern Michigan,23,Rynearson Stadium - Ypsilanti Michigan
400,400,8,10/12/19,,Sat,(22) Baylor,33,,Texas Tech,30,McLane Stadium - Waco Texas
401,401,8,10/12/19,,Sat,(14) Boise State,59,,Hawaii,37,Albertsons Stadium - Boise Idaho
402,402,8,10/12/19,,Sat,Bowling Green State,20,,Toledo,7,Doyt Perry Stadium - Bowling Green Ohio
403,403,8,10/12/19,,Sat,Central Michigan,42,,New Mexico State,28,Kelly/Shorts Stadium - Mount Pleasant Michigan
404,404,8,10/12/19,,Sat,(25) Cincinnati,38,@,Houston,23,TDECU Stadium - Houston Texas
405,405,8,10/12/19,,Sat,(2) Clemson,45,,Florida State,14,Clemson Memorial Stadium - Clemson South Carolina
406,406,8,10/12/19,,Sat,Duke,41,,Georgia Tech,23,Wallace Wade Stadium - Durham North Carolina
407,407,8,10/12/19,,Sat,Florida Atlantic,28,,Middle Tennessee State,13,FAU Football Stadium - Boca Raton Florida
408,408,8,10/12/19,,Sat,Florida International,48,,Charlotte,23,Riccardo Silva Stadium - Miami Florida
409,409,8,10/12/19,,Sat,Georgia State,31,@,Coastal Carolina,21,Brooks Stadium - Conway South Carolina
410,410,8,10/12/19,,Sat,Indiana,35,,Rutgers,0,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
411,411,8,10/12/19,,Sat,Iowa State,38,@,West Virginia,14,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
412,412,8,10/12/19,,Sat,Kent State,26,@,Akron,3,InfoCision Stadium - Akron Ohio
413,413,8,10/12/19,,Sat,Kentucky,24,,Arkansas,20,Kroger Field - Lexington Kentucky
414,414,8,10/12/19,,Sat,(5) Louisiana State,42,,(7) Florida,28,Tiger Stadium - Baton Rouge Louisiana
415,415,8,10/12/19,,Sat,Louisiana Tech,69,,Massachusetts,21,Joe Aillet Stadium - Ruston Louisiana
416,416,8,10/12/19,,Sat,Louisville,62,@,(19) Wake Forest,59,BB&T Field - Winston-Salem North Carolina
417,417,8,10/12/19,,Sat,Marshall,31,,Old Dominion,17,Joan C. Edwards Stadium - Huntington West Virginia
418,418,8,10/12/19,,Sat,(16) Michigan,42,@,Illinois,25,Memorial Stadium - Champaign Illinois
419,419,8,10/12/19,,Sat,Minnesota,34,,Nebraska,7,TCF Bank Stadium - Minneapolis Minnesota
420,420,8,10/12/19,,Sat,Missouri,38,,Mississippi,27,Memorial Stadium/Faurot Field - Columbia Missouri
421,421,8,10/12/19,,Sat,Navy,45,@,Tulsa,17,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
422,422,8,10/12/19,,Sat,Nevada,41,,San Jose State,38,MacKay Stadium - Reno Nevada
423,423,8,10/12/19,,Sat,Nevada-Las Vegas,34,@,Vanderbilt,10,Vanderbilt Stadium - Nashville Tennessee
424,424,8,10/12/19,,Sat,Northern Illinois,39,@,Ohio,36,Peden Stadium - Athens Ohio
425,425,8,10/12/19,,Sat,(9) Notre Dame,30,,Southern California,27,Notre Dame Stadium - South Bend Indiana
426,426,8,10/12/19,,Sat,(6) Oklahoma,34,,(11) Texas,27,Cotton Bowl - Dallas Texas
427,427,8,10/12/19,,Sat,(10) Penn State,17,@,(17) Iowa,12,Kinnick Stadium - Iowa City Iowa
428,428,8,10/12/19,,Sat,Purdue,40,,Maryland,14,Ross-Ade Stadium - West Lafayette Indiana
429,429,8,10/12/19,,Sat,San Diego State,26,,Wyoming,22,SDCCU Stadium - San Diego California
430,430,8,10/12/19,,Sat,South Carolina,20,@,(3) Georgia,17,Sanford Stadium - Athens Georgia
431,431,8,10/12/19,,Sat,South Florida,27,,Brigham Young,23,Raymond James Stadium - Tampa Florida
432,432,8,10/12/19,,Sat,Southern Mississippi,45,,North Texas,27,M. M. Roberts Stadium - Hattiesburg Mississippi
433,433,8,10/12/19,,Sat,Temple,30,,(23) Memphis,28,Lincoln Financial Field - Philadelphia Pennsylvania
434,434,8,10/12/19,,Sat,Tennessee,20,,Mississippi State,10,Neyland Stadium - Knoxville Tennessee
435,435,8,10/12/19,,Sat,Tulane,49,,Connecticut,7,Yulman Stadium - New Orleans Louisiana
436,436,8,10/12/19,,Sat,(15) Utah,52,@,Oregon State,7,Reser Stadium - Corvallis Oregon
437,437,8,10/12/19,,Sat,Virginia Tech,34,,Rhode Island,17,Lane Stadium - Blacksburg Virginia
438,438,8,10/12/19,,Sat,Washington,51,@,Arizona,27,Arizona Stadium - Tucson Arizona
439,439,8,10/12/19,,Sat,Western Kentucky,17,,Army,8,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
440,440,8,10/12/19,,Sat,Western Michigan,38,,Miami (OH),16,Waldo Stadium - Kalamazoo Michigan
441,441,8,10/12/19,,Sat,(8) Wisconsin,38,,Michigan State,0,Camp Randall Stadium - Madison Wisconsin
442,442,9,10/16/19,,Wed,Troy,37,,South Alabama,13,Veterans Memorial Stadium - Troy Alabama
443,443,9,10/17/19,,Thu,Louisiana,37,@,Arkansas State,20,Centennial Bank Stadium - Jonesboro Arkansas
444,444,9,10/17/19,,Thu,UCLA,34,@,Stanford,16,Stanford Stadium - Stanford California
445,445,9,10/18/19,,Fri,Fresno State,56,,Nevada-Las Vegas,27,Bulldog Stadium - Fresno California
446,446,9,10/18/19,,Fri,Marshall,36,@,Florida Atlantic,31,FAU Football Stadium - Boca Raton Florida
447,447,9,10/18/19,,Fri,(4) Ohio State,52,@,Northwestern,3,Ryan Field - Evanston Illinois
448,448,9,10/18/19,,Fri,Pittsburgh,27,@,Syracuse,20,Carrier Dome - Syracuse New York
449,449,9,10/19/19,,Sat,Air Force,56,@,Hawaii,26,Aloha Stadium - Honolulu Hawaii
450,450,9,10/19/19,,Sat,(1) Alabama,35,,Tennessee,13,Bryant-Denny Stadium - Tuscaloosa Alabama
451,451,9,10/19/19,,Sat,Alabama-Birmingham,38,,Old Dominion,14,Legion Field - Birmingham Alabama
452,452,9,10/19/19,,Sat,(24) Appalachian State,52,,Louisiana-Monroe,7,Kidd Brewer Stadium - Boone North Carolina
453,453,9,10/19/19,,Sat,(11) Auburn,51,@,Arkansas,10,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
454,454,9,10/19/19,,Sat,Ball State,52,,Toledo,14,Scheumann Stadium - Muncie Indiana
455,455,9,10/19/19,,Sat,(18) Baylor,45,@,Oklahoma State,27,Boone Pickens Stadium - Stillwater Oklahoma
456,456,9,10/19/19,,Sat,Boston College,45,,North Carolina State,24,Alumni Stadium - Chestnut Hill Massachusetts
457,457,9,10/19/19,,Sat,Brigham Young,28,,(14) Boise State,25,LaVell Edwards Stadium - Provo Utah
458,458,9,10/19/19,,Sat,Buffalo,21,@,Akron,0,InfoCision Stadium - Akron Ohio
459,459,9,10/19/19,,Sat,Central Florida,41,,East Carolina,28,Spectrum Stadium - Orlando Florida
460,460,9,10/19/19,,Sat,Central Michigan,38,@,Bowling Green State,20,Doyt Perry Stadium - Bowling Green Ohio
461,461,9,10/19/19,,Sat,(21) Cincinnati,24,,Tulsa,13,Nippert Stadium - Cincinnati Ohio
462,462,9,10/19/19,,Sat,(3) Clemson,45,@,Louisville,10,Cardinal Stadium - Louisville Kentucky
463,463,9,10/19/19,,Sat,Eastern Michigan,34,,Western Michigan,27,Rynearson Stadium - Ypsilanti Michigan
464,464,9,10/19/19,,Sat,(9) Florida,38,@,South Carolina,27,Williams-Brice Stadium - Columbia South Carolina
465,465,9,10/19/19,,Sat,Florida International,32,,Texas-El Paso,17,Riccardo Silva Stadium - Miami Florida
466,466,9,10/19/19,,Sat,(10) Georgia,21,,Kentucky,0,Sanford Stadium - Athens Georgia
467,467,9,10/19/19,,Sat,Georgia Southern,30,,Coastal Carolina,27,Allen E. Paulson Stadium - Statesboro Georgia
468,468,9,10/19/19,,Sat,Georgia State,28,,Army,21,Georgia State Stadium - Atlanta Georgia
469,469,9,10/19/19,,Sat,Georgia Tech,28,@,Miami (FL),21,Hard Rock Stadium - Miami Gardens Florida
470,470,9,10/19/19,,Sat,Houston,24,@,Connecticut,17,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
471,471,9,10/19/19,,Sat,Illinois,24,,(6) Wisconsin,23,Memorial Stadium - Champaign Illinois
472,472,9,10/19/19,,Sat,Indiana,34,@,Maryland,28,Capital One Field at Maryland Stadium - College Park Maryland
473,473,9,10/19/19,,Sat,(23) Iowa,26,,Purdue,20,Kinnick Stadium - Iowa City Iowa
474,474,9,10/19/19,,Sat,Iowa State,34,@,Texas Tech,24,Jones AT&T Stadium - Lubbock Texas
475,475,9,10/19/19,,Sat,Kansas State,24,,Texas Christian,17,Bill Snyder Family Stadium - Manhattan Kansas
476,476,9,10/19/19,,Sat,Liberty,59,,Maine,44,Williams Stadium - Lynchburg Virginia
477,477,9,10/19/19,,Sat,(2) Louisiana State,36,@,Mississippi State,13,Davis Wade Stadium - Starkville Mississippi
478,478,9,10/19/19,,Sat,Louisiana Tech,45,,Southern Mississippi,30,Joe Aillet Stadium - Ruston Louisiana
479,479,9,10/19/19,,Sat,Memphis,47,,Tulane,17,Liberty Bowl Memorial Stadium - Memphis Tennessee
480,480,9,10/19/19,,Sat,Miami (OH),27,,Northern Illinois,24,Fred Yager Stadium - Oxford Ohio
481,481,9,10/19/19,,Sat,(20) Minnesota,42,@,Rutgers,7,SHI Stadium - Piscataway New Jersey
482,482,9,10/19/19,,Sat,Navy,35,,South Florida,3,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
483,483,9,10/19/19,,Sat,North Texas,33,,Middle Tennessee State,30,Apogee Stadium - Denton Texas
484,484,9,10/19/19,,Sat,Ohio,45,,Kent State,38,Peden Stadium - Athens Ohio
485,485,9,10/19/19,,Sat,(5) Oklahoma,52,,West Virginia,14,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
486,486,9,10/19/19,,Sat,(12) Oregon,35,@,(25) Washington,31,Husky Stadium - Seattle Washington
487,487,9,10/19/19,,Sat,Oregon State,21,@,California,17,California Memorial Stadium - Berkeley California
488,488,9,10/19/19,,Sat,(7) Penn State,28,,(16) Michigan,21,Beaver Stadium - University Park Pennsylvania
