,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
98,98,3,09/08/18,01:00:00 PM,Sat,Boston College,62,,Holy Cross,14,Alumni Stadium - Chestnut Hill Massachusetts
99,99,3,09/08/18,03:30:00 PM,Sat,Buffalo,36,@,Temple,29,Lincoln Financial Field - Philadelphia Pennsylvania
100,100,3,09/08/18,,Sat,California,21,@,Brigham Young,18,LaVell Edwards Stadium - Provo Utah
101,101,3,09/08/18,06:00:00 PM,Sat,(19) Central Florida,38,,South Carolina State,0,Spectrum Stadium - Orlando Florida
102,102,3,09/08/18,08:00:00 PM,Sat,Cincinnati,21,@,Miami (OH),0,Fred Yager Stadium - Oxford Ohio
103,103,3,09/08/18,07:00:00 PM,Sat,(2) Clemson,28,@,Texas A&M,26,Kyle Field - College Station Texas
104,104,3,09/08/18,07:00:00 PM,Sat,Coastal Carolina,47,,Alabama-Birmingham,24,Brooks Stadium - Conway South Carolina
105,105,3,09/08/18,03:30:00 PM,Sat,Colorado,33,@,Nebraska,28,Memorial Stadium - Lincoln Nebraska
106,106,3,09/08/18,07:30:00 PM,Sat,Colorado State,34,,Arkansas,27,Sonny Lubick Field at Canvas Stadium - Fort Collins Colorado
107,107,3,09/08/18,12:00:00 PM,Sat,Duke,21,@,Northwestern,7,Ryan Field - Evanston Illinois
108,108,3,09/08/18,03:30:00 PM,Sat,East Carolina,41,,North Carolina,19,Dowdy-Ficklen Stadium - Greenville North Carolina
109,109,3,09/08/18,12:00:00 PM,Sat,Eastern Michigan,20,@,Purdue,19,Ross-Ade Stadium - West Lafayette Indiana
110,110,3,09/08/18,02:00:00 PM,Sat,Florida Atlantic,33,,Air Force,27,FAU Football Stadium - Boca Raton Florida
111,111,3,09/08/18,07:30:00 PM,Sat,Florida International,28,@,Old Dominion,20,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
112,112,3,09/08/18,07:20:00 PM,Sat,Florida State,36,,Samford,26,Doak Campbell Stadium - Tallahassee Florida
113,113,3,09/08/18,03:30:00 PM,Sat,(3) Georgia,41,@,(24) South Carolina,17,Williams-Brice Stadium - Columbia South Carolina
114,114,3,09/08/18,06:00:00 PM,Sat,Georgia Southern,34,,Massachusetts,13,Allen E. Paulson Stadium - Statesboro Georgia
115,115,3,09/08/18,11:59:00 PM,Sat,Hawaii,43,,Rice,29,Aloha Stadium - Honolulu Hawaii
116,116,3,09/08/18,12:00:00 PM,Sat,Houston,45,,Arizona,18,TDECU Stadium - Houston Texas
117,117,3,09/08/18,07:30:00 PM,Sat,Illinois,34,,Western Illinois,14,Memorial Stadium - Champaign Illinois
118,118,3,09/08/18,07:30:00 PM,Sat,Indiana,20,,Virginia,16,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
119,119,3,09/08/18,05:00:00 PM,Sat,Iowa,13,,Iowa State,3,Kinnick Stadium - Iowa City Iowa
120,120,3,09/08/18,03:00:00 PM,Sat,Kansas,31,@,Central Michigan,7,Kelly/Shorts Stadium - Mount Pleasant Michigan
121,121,3,09/08/18,03:30:00 PM,Sat,Kent State,54,,Howard,14,Dix Stadium - Kent Ohio
