"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1","TV"
"206","203","4","Sep 17, 2016","","Sat","Ohio State","45","@","Oklahoma","24","FOX"
"207","204","4","Sep 17, 2016","","Sat","Oklahoma State","45","","Pittsburgh","38","ESPN"
"208","205","4","Sep 17, 2016","","Sat","Oregon State","37","","Non-Major","7","PAC12"
"209","206","4","Sep 17, 2016","","Sat","Penn State","34","","Temple","27","BTN"
"210","207","4","Sep 17, 2016","","Sat","Rutgers","37","","New Mexico","28","ESPNN"
"211","208","4","Sep 17, 2016","","Sat","San Diego State","42","@","Northern Illinois","28","CBSSN"
"212","209","4","Sep 17, 2016","","Sat","South Carolina","20","","East Carolina","15","SECN"
"213","210","4","Sep 17, 2016","","Sat","South Florida","45","@","Syracuse","20",""
"214","211","4","Sep 17, 2016","","Sat","Southern Methodist","29","","Non-Major","14","ESPN3"
"215","212","4","Sep 17, 2016","","Sat","Stanford","27","","Southern California","10","ABC"
"216","213","4","Sep 17, 2016","","Sat","Tennessee","28","","Ohio","19","SECN"
"217","214","4","Sep 17, 2016","","Sat","Texas A&M","29","@","Auburn","16","ESPN"
"218","215","4","Sep 17, 2016","","Sat","Texas Christian","41","","Iowa State","20","FS1"
"219","216","4","Sep 17, 2016","","Sat","Texas Tech","59","","Louisiana Tech","45",""
"220","217","4","Sep 17, 2016","","Sat","Toledo","52","","Fresno State","17","ESPN3"
"221","218","4","Sep 17, 2016","","Sat","Troy","37","@","Southern Mississippi","31",""
"222","219","4","Sep 17, 2016","","Sat","Tulsa","58","","Non-Major","21","ESPN3"
"223","220","4","Sep 17, 2016","","Sat","UCLA","17","@","Brigham Young","14","ESPN"
"224","221","4","Sep 17, 2016","","Sat","Utah","34","@","San Jose State","17","CBSSN"
"225","222","4","Sep 17, 2016","","Sat","Virginia Tech","49","","Boston College","0","ESPNU"
"226","223","4","Sep 17, 2016","","Sat","Wake Forest","38","","Non-Major","21",""
"227","224","4","Sep 17, 2016","","Sat","Washington","41","","Non-Major","3","PAC12"
"228","225","4","Sep 17, 2016","","Sat","Washington State","56","","Idaho","6","PAC12"
"229","226","4","Sep 17, 2016","","Sat","Western Kentucky","31","@","Miami (OH)","24","ESPN3"
"230","227","4","Sep 17, 2016","","Sat","Western Michigan","34","@","Illinois","10","ESPNN"
"231","228","4","Sep 17, 2016","","Sat","Wisconsin","23","","Georgia State","17","BTN"
"232","229","4","Sep 17, 2016","","Sat","Wyoming","45","","Non-Major","22",""
"234","230","5","Sep 22, 2016","","Thu","Clemson","26","@","Georgia Tech","7","ESPN"
"235","231","5","Sep 23, 2016","","Fri","Eastern Michigan","27","","Wyoming","24","CBSSN"
"236","232","5","Sep 23, 2016","","Fri","Texas Christian","33","@","Southern Methodist","3","ESPN"
"237","233","5","Sep 23, 2016","","Fri","Utah","31","","Southern California","27","FS1"
"238","234","5","Sep 24, 2016","","Sat","Air Force","27","@","Utah State","20",""
"239","235","5","Sep 24, 2016","","Sat","Alabama","48","","Kent State","0",""
"240","236","5","Sep 24, 2016","","Sat","Appalachian State","45","@","Akron","38",""
"241","237","5","Sep 24, 2016","","Sat","Arizona State","51","","California","41",""
"242","238","5","Sep 24, 2016","","Sat","Auburn","18","","Louisiana State","13",""
"243","239","5","Sep 24, 2016","","Sat","Ball State","31","@","Florida Atlantic","27",""
"244","240","5","Sep 24, 2016","","Sat","Baylor","35","","Oklahoma State","24",""
"245","241","5","Sep 24, 2016","","Sat","Boise State","38","@","Oregon State","24",""
"246","242","5","Sep 24, 2016","","Sat","Boston College","42","","Non-Major","10",""
"247","243","5","Sep 24, 2016","","Sat","Buffalo","23","","Army","20",""
"248","244","5","Sep 24, 2016","","Sat","Non-Major","28","@","Arkansas State","23",""
"249","245","5","Sep 24, 2016","","Sat","Central Florida","53","@","Florida International","14",""
"250","246","5","Sep 24, 2016","","Sat","Cincinnati","27","","Miami (OH)","20",""
"251","247","5","Sep 24, 2016","","Sat","Colorado","41","@","Oregon","38",""
"252","248","5","Sep 24, 2016","","Sat","Duke","38","@","Notre Dame","35","NBC"
"253","249","5","Sep 24, 2016","","Sat","Florida State","55","@","South Florida","35",""
"254","250","5","Sep 24, 2016","","Sat","Houston","64","@","Texas State","3",""
"255","251","5","Sep 24, 2016","","Sat","Idaho","33","@","Nevada-Las Vegas","30",""
"256","252","5","Sep 24, 2016","","Sat","Iowa","14","@","Rutgers","7",""
"257","253","5","Sep 24, 2016","","Sat","Iowa State","44","","San Jose State","10",""
"258","254","5","Sep 24, 2016","","Sat","Kansas State","35","","Non-Major","0",""
"259","255","5","Sep 24, 2016","","Sat","Kentucky","17","","South Carolina","10",""
"260","256","5","Sep 24, 2016","","Sat","Louisville","59","@","Marshall","28",""
"261","257","5","Sep 24, 2016","","Sat","Memphis","77","","Bowling Green State","3",""
"262","258","5","Sep 24, 2016","","Sat","Michigan","49","","Penn State","10",""
"263","259","5","Sep 24, 2016","","Sat","Middle Tennessee State","38","","Louisiana Tech","34",""
"264","260","5","Sep 24, 2016","","Sat","Minnesota","31","","Colorado State","24",""
"265","261","5","Sep 24, 2016","","Sat","Mississippi","45","","Georgia","14",""
"266","262","5","Sep 24, 2016","","Sat","Mississippi State","47","@","Massachusetts","35","ESPN3"
"267","263","5","Sep 24, 2016","","Sat","Missouri","79","","Non-Major","0",""
"268","264","5","Sep 24, 2016","","Sat","Nebraska","24","@","Northwestern","13","BTN"
"269","265","5","Sep 24, 2016","","Sat","North Carolina","37","","Pittsburgh","36",""
"270","266","5","Sep 24, 2016","","Sat","North Texas","42","@","Rice","35",""
"271","267","5","Sep 24, 2016","","Sat","Ohio","37","","Non-Major","21",""
"272","268","5","Sep 24, 2016","","Sat","Old Dominion","33","","Texas-San Antonio","19",""
"273","269","5","Sep 24, 2016","","Sat","Purdue","24","","Nevada","14",""
